觸發日期,代號,名稱,收盤,策略狀態,停損價,1Y內最高績效,1Y內最低績效,觸發策略,5日線,20日線,季線(60),20MA乖離率,20日區間振幅,年線位置,年線(240),5日線5日斜率,季線20日斜率,年線20日斜率,距離年線,年線OLS斜率,年線R平方,5日內曾有跳空,5日內曾有爆量,季線扣抵均值,季線扣抵最高,中短期糾結度,今日量比,沉澱天數,前置沉澱扎實度評估
2023/9/27,8210,勤誠,205.9828186,第一型：短線強勢動能與均線交叉發散?可買進,193.048996,58.6% (2024-05-27),-17.67% $$2023-10-20$$,右側突破策略,203.4,202.65,200.83,1.64%,21.75%,上,,,,,,,,,,,,,,,
2017/8/17,2344,華邦電,15.26978207,"第二型：$勝率極高$ 短線強勢動能與均線交叉發散, 並結構突破?必買進",13.77135372,58.27% $$2017-11-27$$,-10.58% (2018-04-24),右側突破策略,14.32,14.16,14.05,7.86%,8.42%,上,,,,,,,,,,,,,,,
2020/6/23,2449,京元電子,23.42434692,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",21.33351898,57.11% (2021-04-29),-5.58% $$2020-09-23$$,V轉選股,23.35,,23.56,,,,24.27,2.42%,0.13%,1.73%,,,,,,,,,,,
2024/8/20,4763,材料*-KY,71.06822205,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",62.49101639,56.94% $$2025-03-10$$,-8.7% (2025-04-09),V轉選股,69.4,,69.52,,,,72.49,4.35%,0.84%,0.99%,,,,,,,,,,,
2015/5/4,2377,微星,21.3401413,"季線在年線下、年季線皆走平或走揚,5日線強勢突破季線且高於10/20日?可買進",19.88446999,56.76% (2016-04-13),-32.56% $$2015-08-24$$,V轉選股,21.31,,21.27,,,,22.36,4.72%,1.29%,0.79%,,,,,,,,,,,
2020/6/29,2449,京元電子,23.67240906,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",21.33351898,55.46% (2021-04-29),-6.57% $$2020-09-23$$,V轉選股,23.57,,23.63,,,,24.31,2.85%,0.60%,1.76%,,,,,,,,,,,
2024/4/1,2618,長榮航,27.5848217,"季線在年線下、年季線皆走平或走揚,5日線強勢突破季線且高於10/20日?可買進",26.39104462,54.92% (2025-01-22),-4.17% $$2024-04-16$$,V轉選股,27,,26.96,,,,27.11,1.28%,0.15%,1.41%,,,,,,,,,,,
2024/4/8,2059,川湖,1310.398193,第一型：短線強勢動能與均線交叉發散?可買進,1183.27002,54.73% (2025-02-26),-28.43% $$2024-08-05$$,右側突破策略,1257.59,1240.48,1127.37,5.64%,22.07%,上,,,,,,,,,,,,,,,
2025/3/3,2887,台新新光金,15.91370201,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",15.68636227,54.7% (2026-02-26),-18.86% $$2025-04-09$$,V轉選股,15.86,,15.87,,,,15.95,0.17%,0.41%,0.64%,,,,,,,,,,,
2021/1/13,1477,聚陽,138.8598175,第一型：短線強勢動能與均線交叉發散?可買進,132.4344482,54.56% (2021-05-28),-1.12% $$2021-01-29$$,右側突破策略,137.22,136.16,135.43,1.98%,7.34%,上,,,,,,,,,,,,,,,
2020/6/24,2449,京元電子,23.8141613,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",21.33351898,54.54% (2021-04-29),-7.12% $$2020-09-23$$,V轉選股,23.47,,23.6,,,,24.3,3.05%,0.36%,1.76%,,,,,,,,,,,
2016/8/29,6191,精成科,6.60763216,第一型：短線強勢動能與均線交叉發散?可買進,6.30661726,54.44% (2017-03-30),2.78% $$2016-09-02$$,右側突破策略,6.55,6.5,5.97,1.61%,7.11%,上,,,,,,,,,,,,,,,
2019/3/18,2449,京元電子,18.13889503,"第二型：$勝率極高$ 短線強勢動能與均線交叉發散, 並結構突破?必買進",16.57637024,54.34% (2019-11-12),-7.87% $$2019-05-28$$,右側突破策略,17.02,16.83,15.84,7.75%,14.33%,上,,,,,,,,,,,,,,,
2020/9/14,2330,台積電,395.3234253,第一型：短線強勢動能與均線交叉發散?可買進,381.8770447,54.2% (2021-01-21),-3.56% $$2020-09-24$$,右側突破策略,389.14,387.23,355.04,2.09%,12.15%,上,,,,,,,,,,,,,,,
2021/1/13,6669,緯穎,635.6450806,"季線在年線下、年季線皆走平或走揚,5日線強勢突破季線且高於10/20日?可買進",568.9980469,53.8% (2022-01-04),0.52% $$2021-01-14$$,V轉選股,599.82,,588.37,,,,607.41,3.24%,0.21%,0.73%,,,,,,,,,,,
2025/2/26,2887,台新新光金,15.82276726,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",15.68636227,53.76% (2026-02-23),-18.39% $$2025-04-09$$,V轉選股,15.86,,15.88,,,,15.94,0.46%,0.51%,0.65%,,,,,,,,,,,
